Date,Estimated Price
2020-10-31,10.580747466534376
2020-11-01,10.5778089761734
2020-11-02,10.574906181544065
2020-11-03,10.57203884422779
2020-11-04,10.56920687481761
2020-11-05,10.566409938037395
2020-11-06,10.5636479370296
2020-11-07,10.56092056632042
2020-11-08,10.558227717876434
2020-11-09,10.555569097399712
2020-11-10,10.552944622933865
2020-11-11,10.55035399645567
2020-11-12,10.547797057777643
2020-11-13,10.545273561030626
2020-11-14,10.542783383280039
2020-11-15,10.54032627493143
2020-11-16,10.537902049720287
2020-11-17,10.535510510206223
2020-11-18,10.53315145149827
2020-11-19,10.53082475811243
2020-11-20,10.528530146926641
2020-11-21,10.526267424225807
2020-11-22,10.524036452174187
2020-11-23,10.52183697745204
2020-11-24,10.519668869674206
2020-11-25,10.517531875520945
2020-11-26,10.515425886958838
2020-11-27,10.513350639492273
2020-11-28,10.51130597293377
2020-11-29,10.509291715919971
2020-11-30,10.507307663559914
2020-12-01,10.5053536221385
2020-12-02,10.503429401665926
2020-12-03,10.50153486058116
2020-12-04,10.499669775366783
2020-12-05,10.497833978384733
2020-12-06,10.496027264744043
2020-12-07,10.494249489158392
2020-12-08,10.49250040948391
2020-12-09,10.4907799474895
2020-12-10,10.489087838679552
2020-12-11,10.487423911690712
2020-12-12,10.485788024961948
2020-12-13,10.484179962426424
2020-12-14,10.482599534094334
2020-12-15,10.48104664683342
2020-12-16,10.47952102124691
2020-12-17,10.478022582828999
2020-12-18,10.476551074534655
2020-12-19,10.475106347352266
2020-12-20,10.473688218742609
2020-12-21,10.4722965285182
2020-12-22,10.47093117237091
2020-12-23,10.469591822475195
2020-12-24,10.468278471380472
2020-12-25,10.466990824788809
2020-12-26,10.465728800743818
2020-12-27,10.464492179453373
2020-12-28,10.463280782103539
2020-12-29,10.462094500660896
2020-12-30,10.460933104157448
2020-12-31,10.459796477109194
2021-01-01,10.458684459328651
2021-01-02,10.457596819847822
2021-01-03,10.456533469259739
2021-01-04,10.455494187772274
2021-01-05,10.454478856176138
2021-01-06,10.453487243503332
2021-01-07,10.452519278973341
2021-01-08,10.451574757695198
2021-01-09,10.45065352320671
2021-01-10,10.449755404144526
2021-01-11,10.44888024404645
2021-01-12,10.448027901351452
2021-01-13,10.447198197245598
2021-01-14,10.446390978991985
2021-01-15,10.445606149733067
2021-01-16,10.44484344497323
2021-01-17,10.444102767854929
2021-01-18,10.443383999168873
2021-01-19,10.442686926573515
2021-01-20,10.442011423408985
2021-01-21,10.441357307136059
2021-01-22,10.440724480897188
2021-01-23,10.44011277332902
2021-01-24,10.439521994441748
2021-01-25,10.438952039927244
2021-01-26,10.438402734696865
2021-01-27,10.43787395954132
2021-01-28,10.437365550547838
2021-01-29,10.436877314001322
2021-01-30,10.436409160494804
2021-01-31,10.435960933566093
2021-02-01,10.435532495379448
2021-02-02,10.435123685747385
2021-02-03,10.434734340757132
2021-02-04,10.434364348649979
2021-02-05,10.434013552963734
2021-02-06,10.433681808412075
2021-02-07,10.433369010686874
2021-02-08,10.433074947446585
2021-02-09,10.43279954046011
2021-02-10,10.432542599737644
2021-02-11,10.43230402842164
2021-02-12,10.432083684951067
2021-02-13,10.43188139423728
2021-02-14,10.43169704452157
2021-02-15,10.431530494242907
2021-02-16,10.431381624192
2021-02-17,10.431250277906656
2021-02-18,10.431136343628168
2021-02-19,10.43103963509202
2021-02-20,10.430960047990084
2021-02-21,10.43089747056365
2021-02-22,10.430851731449366
2021-02-23,10.430822718888521
2021-02-24,10.430810309946537
2021-02-25,10.430814370512962
2021-02-26,10.430834747850895
2021-02-27,10.430871326476336
2021-02-28,10.430923990905285
2021-03-01,10.43099257349968
2021-03-02,10.431076984852552
2021-03-03,10.431177113205194
2021-03-04,10.431292794644833
2021-03-05,10.431423887610435
2021-03-06,10.431570272892714
2021-03-07,10.43173186480999
2021-03-08,10.431908532977104
2021-03-09,10.432100113481283
2021-03-10,10.43230651691556
2021-03-11,10.432527620345354
2021-03-12,10.432763241231441
2021-03-13,10.43301335722208
2021-03-14,10.433277748525143
2021-03-15,10.433556396514177
2021-03-16,10.433849077671766
2021-03-17,10.434155724942684
